('org', 119.78561314127774)
('java', 72.2712420632161)
('com', 114.25106411331296)
('java.util', 45.281238912679186)
('org.apache', 88.39041685441133)
('javax', 70.78153098928658)
('java.io', 43.28326475759493)
('android', 32.67653875272326)
('com.google', 73.42715261353852)
('org.eclipse', 65.25908074563384)
('com.intellij', 47.280221748881786)
('net', 68.60484784098784)
('org.junit', 7.1660652063388435)
('java.awt', 42.58780486351165)
('org.springframework', 27.056487190789035)
('javax.xml', 6.910467056505102)
('javax.swing', 59.5487181863429)
('java.lang', 43.278449011584414)
('com.google.common', 55.00909191061397)
('java.util.concurrent', 28.3942624866993)
('io', 59.206518762763096)
('org.apache.commons', 45.27196438232983)
('com.intellij.openapi', 28.37357625563786)
('org.apache.hadoop', 49.64295858806833)
('java.net', 24.59349684660096)
('ims', 72.17262992101428)
('java.nio', 12.946965072103295)
('com.google.common.collect', 43.592517527223045)
('java.security', 6.302567119732523)
('edu', 54.57013967028048)
('com.sun', 49.29449180263459)
('org.jetbrains', 33.16943388055373)
('org.elasticsearch', 39.89025210901323)
('javafx', 20.361181835752657)
('com.amazonaws', 29.6336018534513)
('org.jboss', 33.53883161278985)
('android.support', 17.03542429406263)
('de', 48.51640911506864)
('com.facebook', 42.6426403550321)
('com.fasterxml', 9.529579352859495)
('com.fasterxml.jackson', 9.52732347467739)
('com.planet_ink', 6.000664580076038)
('com.google.gwt', 23.99009515716048)
('com.planet_ink.coffee_mud', 5.997281599497104)
('org.eclipse.persistence', 38.54311771748432)
('com.google.common.base', 19.859729153802746)
('com.github', 45.27278549419962)
('java.text', 17.77327853539496)
('com.intellij.psi', 17.593370601831186)
('com.gemstone', 44.28023552358901)
('com.gemstone.gemfire', 43.973181462382556)
('org.bouncycastle', 36.68826521893654)
('org.apache.ignite', 26.143959362796664)
('org.ovirt', 29.31331627283712)
('org.ovirt.engine', 29.27678236391246)
('org.apache.cassandra', 35.26767326903965)
('org.eclipse.jdt', 39.00388087329605)
('org.bukkit', 16.031452625788248)
('org.olat', 28.755849908675014)
('javafx.scene', 18.06502617738143)
('junit', 20.424258067523276)
('com.intellij.util', 14.718830716669759)
('com.google.api', 14.710568146493427)
('com.bigdata', 48.556105850214045)
('junit.framework', 17.989946282436144)
('org.apache.camel', 25.909954806284652)
('com.rapidminer', 26.193266714752657)
('gov', 41.82620305582902)
('eu', 40.739711673137435)
('org.hibernate', 15.800199345875908)
('org.testng', 18.640804888655378)
('org.alfresco', 38.93545600280232)
('com.facebook.presto', 35.4932013256774)
('co', 35.53442953545847)
('org.openhab', 34.23937996770637)
('org.apache.lucene', 23.20522006589145)
('org.pentaho', 35.35898640172334)
('org.mockito', 11.10747512432111)
('com.alibaba', 33.560641037054616)
('com.pivotal', 41.67387586685698)
('com.pivotal.gemfirexd', 41.66504447480969)
